emoji,description_en,description_es,description_pt
👰🏿‍♂,man with veil dark skin tone,Hombre con tono de piel oscura velo,Homem com um tom de pele escura do véu
👰🏻‍♂️,man with veil light skin tone,Hombre con tono de piel clara de velo,Homem com tom de pele leve
👰🏻‍♂,man with veil light skin tone,Hombre con tono de piel clara de velo,Homem com tom de pele leve
👰🏾‍♂️,man with veil medium-dark skin tone,Hombre con tono de piel de color medio oscuro de velo velo,Homem com tom de pele média-escuro do véu
👰🏾‍♂,man with veil medium-dark skin tone,Hombre con tono de piel de color medio oscuro de velo velo,Homem com tom de pele média-escuro do véu
👰🏼‍♂️,man with veil medium-light skin tone,Hombre con tono de piel de luz media velo,Homem com tom de pele de luz média véu
👰🏼‍♂,man with veil medium-light skin tone,Hombre con tono de piel de luz media velo,Homem com tom de pele de luz média véu
👰🏽‍♂️,man with veil medium skin tone,Hombre con tono de piel mediana velo,Homem com tom de pele média véu
👰🏽‍♂,man with veil medium skin tone,Hombre con tono de piel mediana velo,Homem com tom de pele média véu
👨‍🦯,man with white cane,Hombre con bastón blanco,Homem com bengala branca
👨🏿‍🦯,man with white cane dark skin tone,Hombre con tono de piel oscura de caña blanca,Homem com tom de pele escura de bengala branca
👨‍🦯‍➡️,man with white cane facing right,Hombre con bastón blanco mirando a la derecha,Homem com bengala branca voltada para a direita
👨‍🦯‍➡,man with white cane facing right,Hombre con bastón blanco mirando a la derecha,Homem com bengala branca voltada para a direita
👨🏿‍🦯‍➡️,man with white cane facing right dark skin tone,Hombre con caña blanca que mira a la derecha tono de piel oscura,Hom
👨🏿‍🦯‍➡,man with white cane facing right dark skin tone,Hombre con caña blanca que mira a la derecha tono de piel oscura,Hom
👨🏻‍🦯‍➡️,man with white cane facing right light skin tone,Hombre con bastón blanco mirando el tono de piel clara derecha,Homem com bengala branca voltada para o tom da pele clara
👨🏻‍🦯‍➡,man with white cane facing right light skin tone,Hombre con bastón blanco mirando el tono de piel clara derecha,Homem com bengala branca voltada para o tom da pele clara
👨🏾‍🦯‍➡️,man with white cane facing right medium-dark skin tone,Hombre con caña blanca que mira a la derecha tono de piel medio-oscuridad,Hom
👨🏾‍🦯‍➡,man with white cane facing right medium-dark skin tone,Hombre con caña blanca que mira a la derecha tono de piel medio-oscuridad,Hom
👨🏼‍🦯‍➡️,man with white cane facing right medium-light skin tone,Hombre con caña blanca que mira a la derecha tono de piel de luz media,Hom
👨🏼‍🦯‍➡,man with white cane facing right medium-light skin tone,Hombre con caña blanca que mira a la derecha tono de piel de luz media,Hom
👨🏽‍🦯‍➡️,man with white cane facing right medium skin tone,Hombre con bastón blanco mirando el tono de piel medio derecho,Homem com bengala branca voltada para o tom de pele média
👨🏽‍🦯‍➡,man with white cane facing right medium skin tone,Hombre con bastón blanco mirando el tono de piel medio derecho,Homem com bengala branca voltada para o tom de pele média
👨🏻‍🦯,man with white cane light skin tone,Hombre con tono de piel clara de caña blanca,Homem com tom de pele leve de cana branca
👨🏾‍🦯,man with white cane medium-dark skin tone,Hombre con tono de piel de caña media de caña blanca,Hom
👨🏼‍🦯,man with white cane medium-light skin tone,Hombre con tono de piel de luz media de caña blanca,Homem com tom de pele de luz média de bengala branca
👨🏽‍🦯,man with white cane medium skin tone,Hombre con tono de piel mediana de caña blanca,Homem com tom de pele média de cana branca
🧟‍♂️,man zombie,zombie,Homem zumbi
🧟‍♂,man zombie,zombie,Homem zumbi
🥭,mango,mango,manga
🕰️,mantelpiece clock,reloj de chimenea,Relógio da lareira
🕰,mantelpiece clock,reloj de chimenea,Relógio da lareira
🦽,manual wheelchair,silla de ruedas manual,cadeira de rodas manual
👞,man’s shoe,zapato del hombre,sapato do homem
🗾,map of Japan,Mapa de Japón,Mapa do Japão
🍁,maple leaf,hoja de arce,folha de bordo
🪇,maracas,maracas,maracás
🥋,martial arts uniform,Uniforme de artes marciales,Uniforme de Artes Marciais
🧉,mate,compañero,amigo
🍖,meat on bone,carne sobre hueso,carne no osso
🧑‍🔧,mechanic,mecánico,mecânico
🧑🏿‍🔧,mechanic dark skin tone,tono de piel oscura mecánica,tom de pele escura mecânica
🧑🏻‍🔧,mechanic light skin tone,tono de piel clara mecánica,tom de pele leve mecânica
🧑🏾‍🔧,mechanic medium-dark skin tone,tono de piel mecánico medio-oscuridad,tom de pele mecânico de médio escuro
🧑🏼‍🔧,mechanic medium-light skin tone,tono de piel mecánico de luz media,tom de pele mecânico de luz média
🧑🏽‍🔧,mechanic medium skin tone,tono de piel mediana mecánica,tom de pele média mecânica
🦾,mechanical arm,brazo mecánico,braço mecânico
🦿,mechanical leg,pierna mecánica,perna mecânica
⚕️,medical symbol,símbolo médico,símbolo médico
⚕,medical symbol,símbolo médico,símbolo médico
🏾,medium-dark skin tone,tono de piel de oscuridad mediana,Tom de pele média-escuro
🏼,medium-light skin tone,tono de piel de luz media,tom de pele de luz média
🏽,medium skin tone,tono de piel mediana,tom de pele média
📣,megaphone,megáfono,megafone
🍈,melon,melón,Melão
🫠,melting face,rostro derretido,face derretida
📝,memo,memorándum,memorando
👬,men holding hands,Hombres tomados de la mano,homens de mãos dadas
👬🏿,men holding hands dark skin tone,Hombres tomados de las manos tono de piel oscura,Homens de mãos dadas para o tom escuro da pele
👨🏿‍🤝‍👨🏻,men holding hands dark skin tone light skin tone,Hombres tomados de las manos Tono de piel de piel oscura Tono de piel claro,Homens de mãos dadas para o tom da pele escura
👨🏿‍🤝‍👨🏾,men holding hands dark skin tone medium-dark skin tone,Hombres tomados de manos tono de piel de piel oscura,Homens de mãos dadas para o tom escuro da pele escura
👨🏿‍🤝‍👨🏼,men holding hands dark skin tone medium-light skin tone,Hombres tomados de las manos Tono de piel de piel oscura Tono de piel de luz media,Homens de mãos dadas para o tom da pele escura de pele média
👨🏿‍🤝‍👨🏽,men holding hands dark skin tone medium skin tone,Hombres tomados de las manos tono de piel oscuro tono de piel mediana,Homens de mãos dadas para o tom da pele escura do tom médio
👬🏻,men holding hands light skin tone,Hombres tomando las manos tono de piel claro,Homens de mãos dadas para o tom da pele clara
👨🏻‍🤝‍👨🏿,men holding hands light skin tone dark skin tone,Hombres sosteniendo las manos de la piel del tono de piel oscura tono de piel oscura,Homens de mãos dadas para o tom da pele da pele clara
👨🏻‍🤝‍👨🏾,men holding hands light skin tone medium-dark skin tone,Hombres tomados de las manos tono de piel de piel claro,Homens que prendem o tom de pele leve de mão clara do tom de pele média
👨🏻‍🤝‍👨🏼,men holding hands light skin tone medium-light skin tone,Hombres tomados de las manos tono de piel de piel claro tono de piel de luz media,Homens que prendem o tom da pele de pele clara do tom da luz média
👨🏻‍🤝‍👨🏽,men holding hands light skin tone medium skin tone,Hombres sosteniendo las manos tono de piel de piel claro tono de piel medio,Homens de mãos dadas para o tom de pele leve de pele média
👬🏾,men holding hands medium-dark skin tone,Hombres tomados de las manos tono de piel medio-oscuridad,Homens de mãos dadas para o tom de pele média-escuro
👨🏾‍🤝‍👨🏿,men holding hands medium-dark skin tone dark skin tone,Hombres tomados de las manos Tono de piel oscuro de la piel medio-oscuridad,Homens de mãos dadas para o tom da pele média escura do tom escuro
👨🏾‍🤝‍👨🏻,men holding hands medium-dark skin tone light skin tone,Hombres tomados de manos tono de piel de piel medio-oscuro tono de piel,Homens de mãos dadas para o tom de pele de pele média-escura
👨🏾‍🤝‍👨🏼,men holding hands medium-dark skin tone medium-light skin tone,Hombres tomados de las manos Tono de piel de piel medio-oscura tono de piel mediana,Homens de mãos dadas para o tom de pele de pele média-escura
👨🏾‍🤝‍👨🏽,men holding hands medium-dark skin tone medium skin tone,Hombres tomados de manos Tono de piel mediano de piel medio-oscuridad Tono de piel medio,Homens de mãos dadas para o tom médio do tom de pele média
👬🏼,men holding hands medium-light skin tone,Hombres tomados de las manos tono de piel de luz media,Homens de mãos dadas para o tom da pele de luz média
👨🏼‍🤝‍👨🏿,men holding hands medium-light skin tone dark skin tone,Hombres tomados de las manos tono de piel de luz mediana tono de piel oscura,Homens de mãos dadas para o tom da pele da luz média
👨🏼‍🤝‍👨🏻,men holding hands medium-light skin tone light skin tone,Hombres tomados de las manos tono de piel de piel mediana tono de piel claro,Homens de mãos dadas para o tom da pele da luz média do tom da pele
👨🏼‍🤝‍👨🏾,men holding hands medium-light skin tone medium-dark skin tone,Hombres tomados de manos tono de piel de piel mediana de luz media,Homens de mãos dadas para o tom da pele de luz média
👨🏼‍🤝‍👨🏽,men holding hands medium-light skin tone medium skin tone,Hombres tomados de manos tono de piel de luz mediana tono de piel mediana,Homens de mãos dadas para o tom da pele de luz média tom de pele média
👬🏽,men holding hands medium skin tone,Hombres tomando manos tono de piel mediana,Homens de mãos dadas para o tom de pele média
👨🏽‍🤝‍👨🏿,men holding hands medium skin tone dark skin tone,Hombres tomados de manos tono de piel mediana de piel oscura tono,Homens de mãos dadas do tom de pele média
👨🏽‍🤝‍👨🏻,men holding hands medium skin tone light skin tone,Hombres tomados de manos tono de piel de piel mediana tono de piel claro,Homens de mãos dadas do tom de pele de pele média
👨🏽‍🤝‍👨🏾,men holding hands medium skin tone medium-dark skin tone,Hombres de manos Tono de piel de piel mediana de piel mediana,Homens de mãos dadas para o tom médio da pele do tom médio-escuro
👨🏽‍🤝‍👨🏼,men holding hands medium skin tone medium-light skin tone,Hombres tomados de manos tono de piel de piel mediana tono de piel mediana,Homens de mãos dadas para o tom médio de pele de pele média
👯‍♂️,men with bunny ears,Hombres con orejas de conejito,homens com orelhas de coelho
👯‍♂,men with bunny ears,Hombres con orejas de conejito,homens com orelhas de coelho
🤼‍♂️,men wrestling,Men lucha,homens lutando
🤼‍♂,men wrestling,Men lucha,homens lutando
❤️‍🩹,mending heart,corazón de aparato,Coração de conserto
❤‍🩹,mending heart,corazón de aparato,Coração de conserto
🕎,menorah,menorah,Menorah
🚹,men’s room,habitación de los hombres,quarto masculino
🧜‍♀️,mermaid,sirena,sereia
🧜‍♀,mermaid,sirena,sereia
🧜🏿‍♀️,mermaid dark skin tone,tono de piel oscura sirena,Tom de pele escura de sereia
🧜🏿‍♀,mermaid dark skin tone,tono de piel oscura sirena,Tom de pele escura de sereia
🧜🏻‍♀️,mermaid light skin tone,tono de piel clara de sirena,Tom de pele leve de sereia
🧜🏻‍♀,mermaid light skin tone,tono de piel clara de sirena,Tom de pele leve de sereia
🧜🏾‍♀️,mermaid medium-dark skin tone,tono de piel de Sirmaid Medium-Dark,Tom de pele de sereia-escuro de sereia
🧜🏾‍♀,mermaid medium-dark skin tone,tono de piel de Sirmaid Medium-Dark,Tom de pele de sereia-escuro de sereia
🧜🏼‍♀️,mermaid medium-light skin tone,tono de piel de luz media sirena,Tom de pele de luz média sereia
🧜🏼‍♀,mermaid medium-light skin tone,tono de piel de luz media sirena,Tom de pele de luz média sereia
🧜🏽‍♀️,mermaid medium skin tone,tono de piel mediana de sirena,Tom de pele média de sereia
🧜🏽‍♀,mermaid medium skin tone,tono de piel mediana de sirena,Tom de pele média de sereia
🧜‍♂️,merman,tritón,tritão
🧜‍♂,merman,tritón,tritão
🧜🏿‍♂️,merman dark skin tone,tono de piel oscura merman,Tom de pele escura do Merman
